2019,1,1,35,51
2019,1,2,26,46
2019,1,3,14,32
2019,1,4,36,43
2019,1,5,12,22
2019,1,6,10,27
2019,1,7,8,20
2019,1,8,0,14
2019,1,9,17,23
2019,1,10,3,19
2019,1,11,16,28
2019,1,12,10,28
2019,1,13,5,25
2019,1,14,21,39
2019,1,15,6,22
2019,1,16,13,20
2019,1,17,4,18
2019,1,18,26,33
2019,1,19,33,45
2019,1,20,14,19
2019,1,21,24,35
2019,1,22,11,18
2019,1,23,-1,5
2019,1,24,37,48
2019,1,25,25,32
2019,1,26,40,56
2019,1,27,1,18
2019,1,28,39,50
2019,1,29,36,53
2019,1,30,20,40
2019,1,31,-2,11
2019,2,1,18,23
2019,2,2,-1,4
2019,2,3,-1,9
2019,2,4,6,12
2019,2,5,24,44
2019,2,6,40,51
2019,2,7,24,36
2019,2,8,7,17
2019,2,9,8,27
2019,2,10,23,35
2019,2,11,-6,-1
2019,2,12,3,13
2019,2,13,16,36
2019,2,14,19,32
2019,2,15,35,44
2019,2,16,-5,8
2019,2,17,-6,10
2019,2,18,0,11
2019,2,19,18,30
2019,2,20,30,42
2019,2,21,-10,-3
2019,2,22,-2,7
2019,2,23,26,32
2019,2,24,1,19
2019,2,25,32,37
2019,2,26,-1,15
2019,2,27,-10,2
2019,2,28,8,15
2019,3,1,33,40
2019,3,2,23,37
2019,3,3,2,15
2019,3,4,29,39
2019,3,5,22,38
2019,3,6,4,17
2019,3,7,30,50
2019,3,8,24,42
2019,3,9,40,58
2019,3,10,6,13
2019,3,11,32,46
2019,3,12,29,43
2019,3,13,20,36
2019,3,14,-4,14
2019,3,15,0,12
2019,3,16,-6,14
2019,3,17,5,22
2019,3,18,13,31
2019,3,19,27,43
2019,3,20,26,34
2019,3,21,0,19
2019,3,22,-1,4
2019,3,23,-9,-1
2019,3,24,28,45
2019,3,25,4,18
2019,3,26,14,27
2019,3,27,31,50
2019,3,28,2,20
2019,3,29,21,32
2019,3,30,17,29
2019,3,31,-6,8
2019,4,1,35,41
2019,4,2,26,38
2019,4,3,-10,-1
2019,4,4,-6,0
2019,4,5,11,19
2019,4,6,4,11
2019,4,7,-7,4
2019,4,8,-2,12
2019,4,9,25,42
2019,4,10,32,50
2019,4,11,-1,19
2019,4,12,24,36
2019,4,13,2,16
2019,4,14,38,50
2019,4,15,-8,4
2019,4,16,35,47
2019,4,17,7,19
2019,4,18,9,19
2019,4,19,-9,10
2019,4,20,30,45
2019,4,21,25,43
2019,4,22,19,29
2019,4,23,19,36
2019,4,24,39,45
2019,4,25,12,18
2019,4,26,14,27
2019,4,27,-8,-1
2019,4,28,7,16
2019,4,29,31,51
2019,4,30,18,32
2019,5,1,-6,1
2019,5,2,6,19
2019,5,3,13,30
2019,5,4,17,37
2019,5,5,7,17
2019,5,6,32,52
2019,5,7,-9,8
2019,5,8,19,39
2019,5,9,24,44
2019,5,10,1,21
2019,5,11,36,47
2019,5,12,10,22
2019,5,13,36,54
2019,5,14,8,27
2019,5,15,-6,11
2019,5,16,35,47
2019,5,17,35,51
2019,5,18,33,50
2019,5,19,-1,5
2019,5,20,9,27
2019,5,21,37,48
2019,5,22,18,36
2019,5,23,-6,2
2019,5,24,-8,9
2019,5,25,40,59
2019,5,26,19,28
2019,5,27,21,36
2019,5,28,31,41
2019,5,29,-8,6
2019,5,30,1,7
2019,5,31,11,18
2019,6,1,21,32
2019,6,2,37,53
2019,6,3,12,29
2019,6,4,40,55
2019,6,5,12,31
2019,6,6,8,26
2019,6,7,-1,16
2019,6,8,19,37
2019,6,9,25,30
2019,6,10,26,32
2019,6,11,37,50
2019,6,12,13,21
2019,6,13,34,41
2019,6,14,24,33
2019,6,15,22,35
2019,6,16,20,39
2019,6,17,15,34
2019,6,18,27,42
2019,6,19,6,24
2019,6,20,27,34
2019,6,21,22,42
2019,6,22,-8,3
2019,6,23,36,41
2019,6,24,29,47
2019,6,25,19,30
2019,6,26,25,43
2019,6,27,-10,4
2019,6,28,38,45
2019,6,29,16,25
2019,6,30,-1,16
2019,7,1,30,45
2019,7,2,12,26
2019,7,3,8,15
2019,7,4,-7,5
2019,7,5,8,16
2019,7,6,18,33
2019,7,7,4,18
2019,7,8,-4,4
2019,7,9,20,29
2019,7,10,23,40
2019,7,11,25,31
2019,7,12,20,35
2019,7,13,0,5
2019,7,14,-7,5
2019,7,15,9,24
2019,7,16,21,41
2019,7,17,33,39
